Time,CPU Usage,Memory Usage,OS
2023-05-15 12:27:40,0.0,48.6,Windows
2023-05-15 12:27:41,1.6,48.7,Windows
2023-05-15 12:27:42,0.9,48.7,Windows
2023-05-15 12:27:43,0.8,48.7,Windows
2023-05-15 12:27:44,0.8,48.7,Windows
2023-05-15 12:27:45,0.8,48.7,Windows
2023-05-15 12:27:46,0.0,48.7,Windows
2023-05-15 12:27:47,1.3,48.7,Windows
2023-05-15 12:27:48,0.4,48.7,Windows
2023-05-15 12:27:49,1.4,48.7,Windows
2023-05-15 12:27:50,5.8,48.6,Windows
2023-05-15 12:27:51,3.0,46.6,Windows
2023-05-15 12:27:52,0.3,46.6,Windows
2023-05-15 12:27:53,0.8,46.5,Windows
2023-05-15 12:27:54,3.6,46.6,Windows
2023-05-15 12:27:55,2.3,46.5,Windows
2023-05-15 12:27:56,0.9,46.5,Windows
2023-05-15 12:27:57,1.2,46.5,Windows
2023-05-15 12:27:58,1.3,46.8,Windows
2023-05-15 12:27:59,2.5,46.7,Windows
2023-05-15 12:28:00,0.5,46.7,Windows
2023-05-15 12:28:01,0.8,46.7,Windows
2023-05-15 12:28:02,1.0,46.7,Windows
2023-05-15 12:28:03,2.7,46.7,Windows
2023-05-15 12:28:04,0.9,46.7,Windows
2023-05-15 12:28:05,0.8,46.7,Windows
2023-05-15 12:28:06,3.6,46.7,Windows
2023-05-15 12:28:07,3.9,46.9,Windows
2023-05-15 12:28:08,2.7,46.8,Windows
2023-05-15 12:28:09,1.0,46.8,Windows
2023-05-15 12:28:10,0.9,46.8,Windows
2023-05-15 12:28:11,1.7,46.8,Windows
2023-05-15 12:28:12,0.5,46.8,Windows
2023-05-15 12:28:13,1.3,46.8,Windows
2023-05-15 12:28:14,0.4,46.8,Windows
2023-05-15 12:28:15,0.8,46.8,Windows
2023-05-15 12:28:16,1.3,46.8,Windows
2023-05-15 12:28:17,0.5,46.8,Windows
2023-05-15 12:28:18,0.4,46.8,Windows
2023-05-15 12:28:19,1.4,46.8,Windows
2023-05-15 12:28:20,0.5,46.7,Windows
2023-05-15 12:28:21,1.9,46.7,Windows
2023-05-15 12:28:22,2.6,46.7,Windows
2023-05-15 12:28:23,1.6,46.8,Windows
2023-05-15 12:28:24,2.0,46.8,Windows
2023-05-15 12:28:25,0.9,46.8,Windows
2023-05-15 12:28:26,1.6,46.8,Windows
2023-05-15 12:28:27,1.8,46.8,Windows
2023-05-15 12:28:28,1.3,46.7,Windows
2023-05-15 12:28:29,1.8,46.7,Windows
2023-05-15 12:28:30,1.8,46.7,Windows
2023-05-15 12:28:31,0.9,46.7,Windows
2023-05-15 12:28:32,0.4,46.6,Windows
2023-05-15 12:28:33,2.3,46.6,Windows
2023-05-15 12:28:34,1.2,46.6,Windows
2023-05-15 12:28:35,1.3,46.5,Windows
2023-05-15 12:28:36,1.3,46.6,Windows
2023-05-15 12:28:37,6.2,46.5,Windows
2023-05-15 12:28:38,7.5,46.9,Windows
2023-05-15 12:28:39,2.9,47.0,Windows
2023-05-15 12:28:40,0.4,47.0,Windows
2023-05-15 12:28:41,0.4,47.0,Windows
2023-05-15 12:28:42,0.5,47.1,Windows
2023-05-15 12:28:43,0.9,47.0,Windows
2023-05-15 12:28:44,0.8,47.0,Windows
2023-05-15 12:28:45,0.4,47.0,Windows
2023-05-15 12:28:46,0.3,47.0,Windows
2023-05-15 12:28:47,0.4,47.0,Windows
2023-05-15 12:28:48,0.4,47.0,Windows
2023-05-15 12:28:49,0.5,46.9,Windows
2023-05-15 12:28:50,0.5,47.0,Windows
2023-05-15 12:28:51,0.1,47.0,Windows
2023-05-15 12:28:52,0.9,47.0,Windows
2023-05-15 12:28:53,0.9,47.0,Windows
2023-05-15 12:28:54,0.4,47.0,Windows
2023-05-15 12:28:56,0.5,47.0,Windows
2023-05-15 12:28:57,0.4,47.0,Windows
2023-05-15 12:28:58,1.0,47.2,Windows
2023-05-15 12:28:59,0.5,47.2,Windows
2023-05-15 12:29:00,0.4,47.2,Windows
2023-05-15 12:29:01,1.2,47.2,Windows
2023-05-15 12:29:02,1.3,47.2,Windows
2023-05-15 12:29:03,3.8,47.3,Windows
2023-05-15 12:29:04,1.7,47.3,Windows
2023-05-15 12:29:05,5.6,47.7,Windows
2023-05-15 12:29:06,1.3,47.7,Windows
2023-05-15 12:29:07,1.2,47.7,Windows
2023-05-15 12:29:08,0.9,47.7,Windows
2023-05-15 12:29:09,0.7,47.5,Windows
2023-05-15 12:29:10,1.9,47.6,Windows
2023-05-15 12:29:11,4.0,47.7,Windows
2023-05-15 12:29:12,1.4,47.7,Windows
2023-05-15 12:29:13,2.6,47.7,Windows
2023-05-15 12:29:14,1.7,47.5,Windows
2023-05-15 12:29:15,1.8,47.5,Windows
2023-05-15 12:29:16,0.6,47.5,Windows
2023-05-15 12:29:17,1.8,47.5,Windows
2023-05-15 12:29:18,0.9,47.5,Windows
2023-05-15 12:29:19,0.6,47.4,Windows
2023-05-15 12:29:20,1.2,47.4,Windows
2023-05-15 12:29:21,0.7,47.4,Windows
2023-05-15 12:29:22,0.1,47.5,Windows
2023-05-15 12:29:23,0.8,47.4,Windows
2023-05-15 12:29:24,0.8,47.4,Windows
2023-05-15 12:29:25,0.7,47.4,Windows
2023-05-15 12:29:26,0.5,47.5,Windows
2023-05-15 12:29:27,1.2,47.5,Windows
2023-05-15 12:29:28,1.4,47.4,Windows
2023-05-15 12:29:29,4.7,47.5,Windows
2023-05-15 12:29:30,1.8,47.5,Windows
2023-05-15 12:29:31,1.0,47.5,Windows
2023-05-15 12:29:32,2.7,47.5,Windows
2023-05-15 12:29:33,4.2,47.4,Windows
2023-05-15 12:29:34,1.2,47.5,Windows
2023-05-15 12:29:35,1.3,47.4,Windows
2023-05-15 12:29:36,3.0,47.5,Windows
2023-05-15 12:29:37,1.4,47.5,Windows
2023-05-15 12:29:38,1.0,47.5,Windows
2023-05-15 12:29:39,1.2,47.4,Windows
2023-05-15 12:29:40,1.2,47.4,Windows
2023-05-15 12:29:41,0.6,47.3,Windows
2023-05-15 12:29:42,0.9,47.3,Windows
2023-05-15 12:29:43,1.8,47.3,Windows
2023-05-15 12:29:44,0.4,47.2,Windows
2023-05-15 12:29:45,0.5,47.2,Windows
2023-05-15 12:29:46,0.8,47.3,Windows
2023-05-15 12:29:47,1.0,47.3,Windows
2023-05-15 12:29:48,0.4,47.3,Windows
2023-05-15 12:29:49,0.3,47.2,Windows
2023-05-15 12:29:50,1.0,47.3,Windows
2023-05-15 12:29:51,0.5,47.3,Windows
2023-05-15 12:29:52,1.2,47.3,Windows
2023-05-15 12:29:53,0.5,47.3,Windows
2023-05-15 12:29:54,1.0,47.3,Windows
2023-05-15 12:29:55,0.5,47.3,Windows
2023-05-15 12:29:56,0.4,47.3,Windows
2023-05-15 12:29:57,0.9,47.3,Windows
2023-05-15 12:29:58,1.6,47.5,Windows
2023-05-15 12:29:59,1.2,47.5,Windows
2023-05-15 12:30:00,3.5,47.5,Windows
2023-05-15 12:30:01,1.9,47.6,Windows
2023-05-15 12:30:02,5.1,47.8,Windows
2023-05-15 12:30:03,1.3,47.8,Windows
2023-05-15 12:30:04,0.4,47.8,Windows
2023-05-15 12:30:05,0.9,47.8,Windows
2023-05-15 12:30:06,0.5,47.8,Windows
2023-05-15 12:30:07,1.9,47.8,Windows
2023-05-15 12:30:08,4.4,47.9,Windows
2023-05-15 12:30:09,2.6,47.9,Windows
2023-05-15 12:30:10,3.9,47.9,Windows
2023-05-15 12:30:11,6.6,47.9,Windows
2023-05-15 12:30:12,5.3,48.0,Windows
2023-05-15 12:30:13,7.3,47.8,Windows
2023-05-15 12:30:14,5.3,47.9,Windows
2023-05-15 12:30:15,6.4,48.0,Windows
2023-05-15 12:30:16,1.2,48.0,Windows
2023-05-15 12:30:17,0.7,48.0,Windows
2023-05-15 12:30:18,0.5,48.0,Windows
2023-05-15 12:30:19,0.3,48.0,Windows
2023-05-15 12:30:20,3.0,48.0,Windows
2023-05-15 12:30:21,1.8,48.0,Windows
2023-05-15 12:30:22,2.2,48.0,Windows
2023-05-15 12:30:23,3.9,48.0,Windows
2023-05-15 12:30:24,1.3,48.0,Windows
2023-05-15 12:30:25,0.9,48.0,Windows
2023-05-15 12:30:26,0.4,48.0,Windows
2023-05-15 12:30:27,0.8,48.0,Windows
2023-05-15 12:30:28,1.3,48.0,Windows
2023-05-15 12:30:29,3.6,48.2,Windows
2023-05-15 12:30:30,0.3,48.1,Windows
2023-05-15 12:30:31,0.5,48.1,Windows
2023-05-15 12:30:32,0.5,48.1,Windows
2023-05-15 12:30:33,0.3,47.9,Windows
2023-05-15 12:30:34,2.6,47.9,Windows
2023-05-15 12:30:35,1.8,47.9,Windows
2023-05-15 12:30:36,1.8,47.9,Windows
2023-05-15 12:30:37,2.1,47.9,Windows
2023-05-15 12:30:38,3.2,47.9,Windows
2023-05-15 12:30:39,2.2,47.9,Windows
2023-05-15 12:30:40,1.6,47.9,Windows
2023-05-15 12:30:41,3.9,48.0,Windows
2023-05-15 12:30:42,1.7,48.0,Windows
2023-05-15 12:30:43,0.5,48.0,Windows
2023-05-15 12:30:44,0.3,48.0,Windows
2023-05-15 12:30:45,0.4,48.0,Windows
2023-05-15 12:30:46,0.5,48.0,Windows
2023-05-15 12:30:47,0.4,48.0,Windows
2023-05-15 12:30:48,0.8,48.0,Windows
2023-05-15 12:30:49,0.3,48.0,Windows
2023-05-15 12:30:50,0.5,48.0,Windows
2023-05-15 12:30:51,0.3,48.0,Windows
2023-05-15 12:30:52,1.0,48.0,Windows
2023-05-15 12:30:53,1.0,48.0,Windows
2023-05-15 12:30:54,0.9,48.0,Windows
2023-05-15 12:30:55,1.3,48.0,Windows
2023-05-15 12:30:56,1.2,48.0,Windows
2023-05-15 12:30:57,0.5,48.0,Windows
2023-05-15 12:30:58,1.0,48.2,Windows
2023-05-15 12:30:59,0.5,48.2,Windows
2023-05-15 12:31:00,0.6,48.2,Windows
2023-05-15 12:31:01,0.8,48.2,Windows
2023-05-15 12:31:02,1.0,48.2,Windows
2023-05-15 12:31:03,0.8,48.2,Windows
2023-05-15 12:31:04,1.0,48.2,Windows
2023-05-15 12:31:05,0.9,48.2,Windows
2023-05-15 12:31:06,0.6,48.2,Windows
2023-05-15 12:31:07,0.3,48.2,Windows
2023-05-15 12:31:08,0.4,48.2,Windows
2023-05-15 12:31:09,0.5,48.2,Windows
2023-05-15 12:31:10,0.1,48.2,Windows
2023-05-15 12:31:11,0.0,48.2,Windows
2023-05-15 12:31:12,0.5,48.2,Windows
2023-05-15 12:31:13,0.3,48.2,Windows
2023-05-15 12:31:14,0.5,48.2,Windows
2023-05-15 12:31:15,0.3,48.2,Windows
2023-05-15 12:31:16,0.6,48.2,Windows
2023-05-15 12:31:17,0.7,48.2,Windows
2023-05-15 12:31:18,1.0,48.2,Windows
2023-05-15 12:31:19,0.3,48.2,Windows
2023-05-15 12:31:20,0.5,48.2,Windows
2023-05-15 12:31:21,0.3,48.2,Windows
2023-05-15 12:31:22,1.0,48.2,Windows
2023-05-15 12:31:23,0.8,48.2,Windows
2023-05-15 12:31:24,0.6,48.2,Windows
2023-05-15 12:31:25,1.3,48.2,Windows
2023-05-15 12:31:26,1.5,48.2,Windows
2023-05-15 12:31:27,2.1,48.2,Windows
2023-05-15 12:31:28,2.7,48.1,Windows
2023-05-15 12:31:29,1.8,48.2,Windows
2023-05-15 12:31:30,0.3,48.2,Windows
2023-05-15 12:31:31,0.3,48.1,Windows
2023-05-15 12:31:32,0.4,48.1,Windows
2023-05-15 12:31:33,0.5,48.0,Windows
2023-05-15 12:31:34,0.7,48.0,Windows
2023-05-15 12:31:35,0.6,48.0,Windows
2023-05-15 12:31:36,0.1,48.0,Windows
2023-05-15 12:31:37,0.6,48.0,Windows
2023-05-15 12:31:38,0.8,48.0,Windows
2023-05-15 12:31:39,0.7,48.0,Windows
2023-05-15 12:31:40,1.8,48.0,Windows
2023-05-15 12:31:41,1.8,47.9,Windows
2023-05-15 12:31:42,2.3,48.0,Windows
2023-05-15 12:31:43,3.6,48.0,Windows
2023-05-15 12:31:44,4.4,48.0,Windows
2023-05-15 12:31:45,3.4,48.0,Windows
2023-05-15 12:31:46,1.8,48.0,Windows
2023-05-15 12:31:47,1.6,47.9,Windows
2023-05-15 12:31:48,1.6,47.9,Windows
2023-05-15 12:31:49,0.4,47.9,Windows
2023-05-15 12:31:50,0.9,48.0,Windows
2023-05-15 12:31:51,0.5,48.0,Windows
2023-05-15 12:31:52,1.2,48.0,Windows
2023-05-15 12:31:53,0.7,47.3,Windows
2023-05-15 12:31:54,1.2,47.2,Windows
2023-05-15 12:31:55,0.5,47.3,Windows
2023-05-15 12:31:56,0.6,47.3,Windows
2023-05-15 12:31:57,1.3,47.4,Windows
2023-05-15 12:31:58,0.6,47.5,Windows
2023-05-15 12:31:59,0.5,47.5,Windows
2023-05-15 12:32:00,0.9,47.5,Windows
2023-05-15 12:32:01,0.1,47.5,Windows
2023-05-15 12:32:02,0.3,47.5,Windows
2023-05-15 12:32:03,0.3,47.5,Windows
2023-05-15 12:32:04,1.0,47.4,Windows
