Command,Parameters,Explanation,Parameter explanation
connect,str,Connect manually to port,str port
connect_auto,,Connect automatically to a satellite or groundstation,
disconnect,,Disconnect from satellite or groundstation,
exit,,Exit program,
help,,Print help message,
list_commands,,List all commands,
list_ports,,List all serial ports,
port_in_use,,Which port is currently in use,
set_timeout,float,Set timeout in seconds for serial connection,float timeout
cam_download_pic,int,Download image with index i from satellite over radio,int img_index
